session,wfz,b2_key,local_bytes,b2_bytes,present,size_matches,error
AL_0039/2025-07-03/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-07-03\1\widefield.wfz,subjects/AL_0039/2025-07-03/1/widefield.wfz,79419635591,,False,False,FileNotPresent: File not present: subjects/AL_0039/2025-07-03/1/widefield.wfz
ZYE_0057/2022-01-30/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0057\2022-01-30\1\widefield.wfz,subjects/ZYE_0057/2022-01-30/1/widefield.wfz,88635708134,88635708134,True,True,
AL_0033/2024-06-22/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2024-06-22\1\widefield.wfz,subjects/AL_0033/2024-06-22/1/widefield.wfz,81558255681,,False,False,FileNotPresent: File not present: subjects/AL_0033/2024-06-22/1/widefield.wfz
AL_0034/2024-08-13/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-13\1\widefield.wfz,subjects/AL_0034/2024-08-13/1/widefield.wfz,85792040615,,False,False,FileNotPresent: File not present: subjects/AL_0034/2024-08-13/1/widefield.wfz
AL_0033/2025-05-10/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-05-10\1\widefield.wfz,subjects/AL_0033/2025-05-10/1/widefield.wfz,79389318430,,False,False,FileNotPresent: File not present: subjects/AL_0033/2025-05-10/1/widefield.wfz
AL_0033/2024-08-26/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2024-08-26\1\widefield.wfz,subjects/AL_0033/2024-08-26/1/widefield.wfz,81056923136,,False,False,FileNotPresent: File not present: subjects/AL_0033/2024-08-26/1/widefield.wfz
ZYE_0059/2022-03-09/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0059\2022-03-09\1\widefield.wfz,subjects/ZYE_0059/2022-03-09/1/widefield.wfz,90813498833,90813498833,True,True,
AL_0032/2024-04-19/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0032\2024-04-19\1\widefield.wfz,subjects/AL_0032/2024-04-19/1/widefield.wfz,80129584131,,False,False,FileNotPresent: File not present: subjects/AL_0032/2024-04-19/1/widefield.wfz
AL_0034/2024-08-27/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-27\1\widefield.wfz,subjects/AL_0034/2024-08-27/1/widefield.wfz,82285347753,,False,False,FileNotPresent: File not present: subjects/AL_0034/2024-08-27/1/widefield.wfz
AL_0033/2024-08-23/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2024-08-23\1\widefield.wfz,subjects/AL_0033/2024-08-23/1/widefield.wfz,79578314527,,False,False,FileNotPresent: File not present: subjects/AL_0033/2024-08-23/1/widefield.wfz
